버스정류장ars번호,시간대,승차비율,하차비율
04215,0,0.0,0.0
04215,1,0.0,0.0
04215,2,0.0,0.0
04215,3,0.0,0.0
04215,4,100.0,100.0
04215,6,0.0,0.0
04215,7,0.0,0.0
04215,8,0.0,0.0
04215,9,0.0,0.0
04215,10,0.0,0.0
04215,11,0.0,0.0
04215,12,0.0,0.0
04215,13,0.0,0.0
04215,14,0.0,0.0
04215,15,0.0,0.0
04215,16,0.0,0.0
04215,17,0.0,0.0
04215,18,0.0,0.0
04215,19,0.0,0.0
04215,20,0.0,0.0
04215,21,0.0,0.0
04215,22,0.0,0.0
04216,0,0.0,0.0
04216,1,0.0,0.0
04216,2,0.0,0.0
04216,3,0.0,0.0
04216,4,100.0,100.0
04216,6,0.0,0.0
04216,7,0.0,0.0
04216,8,0.0,0.0
04216,9,0.0,0.0
04216,10,0.0,0.0
04216,11,0.0,0.0
04216,12,0.0,0.0
04216,13,0.0,0.0
04216,14,0.0,0.0
04216,15,0.0,0.0
04216,16,0.0,0.0
04216,17,0.0,0.0
04216,18,0.0,0.0
04216,19,0.0,0.0
04216,20,0.0,0.0
04216,21,0.0,0.0
04216,22,0.0,0.0
05001,0,3.18,1.81
05001,1,0.0,0.79
05001,2,0.0,0.0
05001,3,0.0,0.0
05001,4,0.0,0.0
05001,6,0.0,0.0
05001,7,0.94,17.52
05001,8,1.24,24.33
05001,9,1.61,18.13
05001,10,1.84,6.42
05001,11,3.25,2.37
05001,12,2.61,3.39
05001,13,2.48,2.79
05001,14,4.29,3.01
05001,15,5.76,2.68
05001,16,10.42,2.28
05001,17,19.57,3.29
05001,18,15.18,2.06
05001,19,9.05,2.81
05001,20,7.44,2.09
05001,21,6.47,2.04
05001,22,4.66,2.2
05002,0,0.14,0.0
05002,1,0.0,0.0
05002,2,0.0,0.0
05002,3,0.0,0.0
05002,4,0.0,0.0
05002,6,0.38,2.94
05002,7,1.0,23.55
05002,8,1.59,20.74
05002,9,1.97,14.41
05002,10,1.62,7.16
05002,11,3.18,3.16
05002,12,2.64,2.07
05002,13,3.18,2.94
05002,14,4.06,3.38
05002,15,5.6,2.72
05002,16,13.42,2.86
05002,17,19.56,3.82
05002,18,15.87,3.38
05002,19,11.2,2.02
05002,20,7.2,1.01
05002,21,3.28,1.27
05002,22,4.09,2.55
05003,0,4.76,4.24
05003,1,0.0,5.71
05003,2,0.0,0.0
05003,3,0.0,0.0
05003,4,0.0,0.0
05003,6,0.0,0.0
05003,7,1.36,4.58
05003,8,4.76,4.3
05003,9,2.72,3.15
05003,10,4.08,3.09
05003,11,3.4,3.18
05003,12,7.48,3.4
05003,13,7.48,2.59
05003,14,3.4,6.05
05003,15,14.29,4.74
05003,16,23.13,4.96
05003,17,4.08,11.69
05003,18,8.84,12.38
05003,19,1.36,8.57
05003,20,3.4,8.17
05003,21,2.04,5.08
05003,22,3.4,4.12
05004,0,0.55,2.25
05004,1,0.0,0.0
05004,2,0.0,0.0
05004,3,0.0,0.0
05004,4,0.0,0.0
05004,6,5.83,0.7
05004,7,12.8,3.37
05004,8,12.82,15.87
05004,9,9.79,6.32
05004,10,4.96,3.09
05004,11,4.49,4.21
05004,12,4.05,2.11
05004,13,4.02,6.32
05004,14,3.96,3.79
05004,15,3.52,5.48
05004,16,5.91,6.04
05004,17,5.91,6.46
05004,18,11.69,11.24
05004,19,3.69,5.06
05004,20,2.94,5.2
05004,21,1.63,4.63
05004,22,1.44,7.87
05006,0,5.21,1.59
05006,1,0.0,1.14
05006,2,0.0,0.0
05006,3,0.0,0.0
05006,4,0.0,0.0
05006,6,0.0,0.0
05006,7,6.25,10.62
05006,8,6.67,12.76
05006,9,2.29,14.99
05006,10,2.4,7.88
05006,11,2.5,5.19
05006,12,2.92,5.92
05006,13,5.1,5.51
05006,14,6.25,4.69
05006,15,10.52,4.15
05006,16,20.1,4.28
05006,17,18.85,6.88
05006,18,3.33,4.33
05006,19,2.4,2.32
05006,20,1.25,2.87
05006,21,2.19,2.37
05006,22,1.77,2.51
05101,0,0.0,0.0
05101,1,0.0,0.0
05101,2,0.0,0.0
05101,3,0.0,0.0
05101,4,0.0,0.0
05101,6,100.0,100.0
05101,7,0.0,0.0
05101,8,0.0,0.0
05101,9,0.0,0.0
05101,10,0.0,0.0
05101,11,0.0,0.0
05101,12,0.0,0.0
05101,13,0.0,0.0
05101,14,0.0,0.0
05101,15,0.0,0.0
05101,16,0.0,0.0
